"co_seq_procedimento","co_procedimento","co_grupo","co_sub_grupo","co_forma_organizacao","nu_competencia_min","nu_competencia_max","qt_registro","qt_no_procedimento","no_procedimento","tp_complexidade","tp_sexo","qt_maxima_execucao","qt_dias_permanencia","qt_pontos","vl_idade_minima","vl_idade_maxima","vl_sh","vl_sa","vl_sp","co_financiamento","co_rubrica","qt_tempo_permanencia","no_grupo","no_sub_grupo","no_forma_organizacao","sg_procedimento"
612,202080226,2,2,8,200801,202301,175,1,PESQUISA DE LEPTOSPIRAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.8000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames microbiológicos                                                                              ,PEDELE
613,202080234,2,2,8,200801,202301,175,1,PESQUISA DE TREPONEMA PALLIDUM,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.0400000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames microbiológicos                                                                              ,PEDETRPA
615,202090019,2,2,9,200801,202301,175,1,ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,ACURLINO
616,202090027,2,2,9,200801,202301,175,1,ADENOGRAMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.7900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,AD
617,202090035,2,2,9,200801,202301,175,1,CITOLOGIA P/ CLAMIDIA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,CIPCL
618,202090043,2,2,9,200801,202301,175,1,CITOLOGIA P/ HERPESVIRUS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,CIPHE
619,202090051,2,2,9,200801,202301,175,1,CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,COESDECE
1328,301080089,3,1,8,200801,202301,60,1,ACOMPANHAMENTO NAO INTENSIVO DE CRIANCA E ADOLESCENTE C/ TRANSTORNOS MENTAIS,"1",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Procedimentos clínicos,Consultas / Atendimentos / Acompanhamentos                                                          ,Atendimento/Acompanhamento psicossocial                                                             ,ACNAINDE
620,202090060,2,2,9,200801,202301,175,1,CONTAGEM GLOBAL DE CELULAS NO LIQUOR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,COGLDECE
621,202090078,2,2,9,200801,202301,175,1,DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","6.5600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DEDEFORE
622,202090086,2,2,9,200801,202301,175,1,DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO,"2",F,"9999","9999","0","120","599","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODECRNO
623,202090094,2,2,9,200801,202301,175,1,DOSAGEM DE FOSFATASE ALCALINA NO ESPERMA,"2",M,"9999","9999","0","120","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEFOAL
624,202090108,2,2,9,200801,202301,175,1,DOSAGEM DE FRUTOSE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEFR
625,202090116,2,2,9,200801,202301,175,1,DOSAGEM DE FRUTOSE NO ESPERMA,"2",M,"9999","9999","0","120","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEFRNO
626,202090124,2,2,9,200801,202301,175,1,DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEGLNO
627,202090132,2,2,9,200801,202301,175,1,DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEPRNO
628,202090140,2,2,9,200801,202301,175,1,DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODESOEC
629,202090159,2,2,9,200801,202301,175,1,ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.2300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,ELDEPRCC
630,202090167,2,2,9,200801,202301,175,1,ESPECTROFOTOMETRIA NO LIQUIDO AMNIOTICO,"2",F,"9999","9999","0","120","599","0.00000000000000000000","6.5600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,ESNOLIAM
631,202090175,2,2,9,200801,202301,175,1,ESPLENOGRAMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.7900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,ES
927,209010029,2,9,1,200801,202301,175,1,COLONOSCOPIA (COLOSCOPIA),"2",I,"1","9999","0","0","1571","112.6600000000000000","112.6600000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico por endoscopia                                                                          ,Aparelho digestivo                                                                                  ,COCO
632,202090183,2,2,9,200801,202301,175,1,EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,EXDECAFI
633,202090191,2,2,9,200801,202301,175,1,MIELOGRAMA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.7900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,MI
634,202090213,2,2,9,200801,202301,175,1,PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA ),"2",M,"9999","9999","0","120","1571","0.00000000000000000000","9.7000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDEANAN
635,202090221,2,2,9,200801,202301,175,2,DOSAGEM DE FOSFATASE ÁCIDA NO ESPERMA,"2",M,"9999","9999","0","120","1571","0.00000000000000000000","2.0100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,DODEFOCI | PEDEANCA
636,202090230,2,2,9,200801,202301,175,1,PESQUISA DE CARACTERES FISICOS NO LIQUOR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDECAFI
637,202090248,2,2,9,200801,202301,175,1,PESQUISA DE CELULAS ORANGIOFILAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDECEOR
638,202090256,2,2,9,200801,202301,175,1,PESQUISA DE CRISTAIS C/ LUZ POLARIZADA,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDECRCL
639,202090264,2,2,9,200801,202301,175,1,PESQUISA DE ESPERMATOZOIDES (APOS VASECTOMIA),"2",M,"9999","9999","0","0","1571","0.00000000000000000000","4.8000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDEESAP
640,202090272,2,2,9,200801,202301,175,1,PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PEDERANO
641,202090280,2,2,9,200801,202301,175,1,PROVA DE PROGRESSAO ESPERMATICA (CADA),"2",M,"9999","9999","0","120","1571","0.00000000000000000000","9.7000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PRDEPRES
642,202090299,2,2,9,200801,202301,175,1,"PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIPOS A, B, C)","2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PRDOLAPH
643,202090302,2,2,9,200801,202301,175,1,PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,PRDOLAPP
644,202090310,2,2,9,200801,202301,175,1,REACAO DE PANDY,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,REDEPA
645,202090329,2,2,9,200801,202301,175,1,REACAO DE RIVALTA NO LIQUIDO SINOVIAL E DERRAMES,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,REDERINO
646,202090337,2,2,9,200801,202301,175,1,TESTE DE CLEMENTS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,TEDECL
647,202090345,2,2,9,200801,202301,175,1,TESTE DE GASTROACIDOGRAMA - SECRECAO BASAL POR 60 EM 4 AMOSTRAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.6900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,TEDEGASE604
648,202090353,2,2,9,200801,202301,175,1,TESTE DE HOLLANDER NO SUCO GASTRICO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","4.6900000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,TEDEHONO
649,202090361,2,2,9,201907,202301,37,1,TESTE MOLECULAR PARA A DETECÇÃO DO COMPLEXO MYCOBACTERIUM TUBERCULOSIS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames em outros líquidos biológicos                                                                ,TEMOPAAD
650,202100014,2,2,10,200801,202301,175,1,DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS),"2",I,"1","9999","0","0","1571","180.0000000000000000","180.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DEDECAEM
651,202100022,2,2,10,200801,202301,175,1,DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS),"2",I,"1","9999","0","0","1571","160.0000000000000000","160.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DEDECAEM
652,202100030,2,2,10,200801,202301,175,1,DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS),"2",I,"1","9999","0","0","1571","160.0000000000000000","160.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DEDECAEM
653,202100049,2,2,10,201302,202301,114,1,QUANTIFICAÇÃO/AMPLIFICAÇÃO DO HER-2,"2",I,"1","9999","0","192","1571","120.0000000000000000","120.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,QUDOHE2
654,202100057,2,2,10,201403,202301,101,1,FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,FOISDATR
655,202100065,2,2,10,201403,202301,101,2,ANÁLISE DE DNA PELA TÉCNICA DE SOUTHERN BLOT,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,ANDEDNPE
656,202100073,2,2,10,201403,202301,101,1,ANÁLISE DE DNA POR MLPA,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,ANDEDNPO
657,202100081,2,2,10,201403,202301,101,1,"IDENTIFICAÇÃO DE MUTAÇÃO/REARRANJOS POR PCR, PCR SENSÍVEL A METILAÇÃO, qPCR E qPCR SENSÍVEL A METILAÇÃO","2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,IDDEMUPO
659,202100103,2,2,10,201403,202301,101,1,IDENTIFICAÇÃO DE ALTERAÇÃO CROMOSSÔNICA SUBMICROSCÓPICA POR ARRAY-CGH,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,IDDEALCR
660,202100111,2,2,10,201403,202301,101,1,IDENTIFICAÇÂO DE MUTAÇÃO POR SEQUENCIAMENTO POR AMPLICON ATÉ 500 PARES DE BASES,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,IDDEMUPO500
661,202100120,2,2,10,201403,202301,101,1,"IDENTIFICAÇÃO DE GLICOSAMINOGLICANOS URINÁRIOS POR CROMATOGRAFIA EM CAMADA DELGADA , ELETROFORESE E DOSAGEM QUANTITATIVA","2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,IDDEGLUR
662,202100138,2,2,10,201403,202301,101,2,IDENTIFICAÇÃO DE OLIGOSSACARÍDEOS E SIALOSSACARÍDEOS POR CROMATOGRAFIA (CAMADA DELGADA),"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,IDDEOLES
663,202100146,2,2,10,201403,202301,101,2,"DOSAGEM QUANTITATIVA DE CARNITINA, PERFIL DE ACILCARNITINAS","2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DOQUDECA
664,202100154,2,2,10,201403,202301,101,1,DOSAGEM QUANTITATIVA DE AMINOÁCIDOS,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DOQUDEAM
665,202100162,2,2,10,201403,202301,101,2,DOSAGEM QUANTITATIVA DE ÁCIDOS ORGÂNICOS,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DOQUDECI
666,202100170,2,2,10,201403,202301,101,1,ENSAIOS ENZIMÁTICOS NO PLASMA E LEUCÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,ENENNOPL
667,202100189,2,2,10,201403,202301,101,1,ENSAIOS ENZIMÁTICOS EM ERITRÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,ENENEMER
668,202100197,2,2,10,201403,202301,101,1,ENSAIOS ENZIMÁTICOS EM TECIDO CULTIVADO PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,ENENEMTE
669,202100200,2,2,10,202101,202301,19,1,SEQUENCIAMENTO COMPLETO DO EXOMA,"2",I,"1","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4","040062","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,SECODOEX
1329,301080097,3,1,8,200801,202301,60,2,ACOMPANHAMENTO NAO INTENSIVO DE PACIENTE DEPENDENTE DE ALCOOL / DROGAS,"1",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Procedimentos clínicos,Consultas / Atendimentos / Acompanhamentos                                                          ,Atendimento/Acompanhamento psicossocial                                                             ,ACNAINDE
670,202100219,2,2,10,202101,202301,19,1,DIAGNÓSTICO DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TÉCNICA MOLECULAR,"2",I,"1","9999","0","0","1571","144.2400000000000000","144.2400000000000000","0.00000000000000000000","4","040071","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,DIDELECR
671,202100227,2,2,10,202101,202301,19,1,REAVALIAÇÃO DIAGNÓSTICA DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TÉCNICA MOLECULAR,"2",I,"9999","9999","0","0","1571","168.4800000000000000","168.4800000000000000","0.00000000000000000000","4","040071","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,REDIDELE
672,202100235,2,2,10,202101,202301,19,1,PESQUISA DE MUTAÇÃO DO GENE DA PROTROMBINA,"2",F,"1","9999","0","108","731","180.0000000000000000","180.0000000000000000","0.00000000000000000000","4","040072","9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames de genética                                                                                  ,PEDEMUDO
673,202110010,2,2,11,200801,202301,175,1,DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","8.8000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DEDEVADA
674,202110028,2,2,11,200801,202301,175,1,DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","66.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DEMODEMU
675,202110036,2,2,11,200801,202301,175,1,DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","66.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DEMOEMFI
676,202110044,2,2,11,200801,202301,175,1,DOSAGEM DE FENILALANINA (CONTROLE / DIAGNOSTICO TARDIO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","5.5000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODEFECO
677,202110052,2,2,11,200801,202301,175,1,DOSAGEM DE FENILALANINA E TSH OU T4,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","12.1000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODEFEET4
678,202110060,2,2,11,200801,202301,175,2,DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZINHO),"2",I,"9999","9999","0","0","1","0.00000000000000000000","20.9000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODEFETS4
679,202110079,2,2,11,200801,202301,175,2,DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO),"2",I,"9999","9999","0","0","1","0.00000000000000000000","5.5000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODETRIM
680,202110087,2,2,11,200801,202301,175,1,DOSAGEM DE TSH E T4 LIVRE (CONTROLE / DIAGNOSTICO TARDIO),"2",I,"9999","9999","0","0","1571","0.00000000000000000000","13.2000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODETSET4
681,202110095,2,2,11,201301,202301,115,3,DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO),"2",I,"9999","9999","0","0","1","0.00000000000000000000","8.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODEHIPR17
682,202110109,2,2,11,201301,202301,115,2,DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO),"2",I,"9999","9999","0","0","1","0.00000000000000000000","5.5000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DODAATDA
683,202110117,2,2,11,201301,202301,115,1,DOSAGEM QUANTITATIVA DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SORO,"2",I,"1","9999","0","0","1571","0.00000000000000000000","137.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DOQUDAAT
684,202110125,2,2,11,201301,202301,115,1,DETECÇÃO MOLECULAR DE MUTAÇÃO EM HIPERPLASIA ADRENAL CONGÊNITA,"2",I,"1","9999","0","0","1571","0.00000000000000000000","66.0000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames para triagem neonatal                                                                        ,DEMODEMU
