"co_seq","co_cid","no_cid","co_capitulo","no_capitulo","ds_titulo_capitulo","co_categoria","no_categoria","ds_agrupamento","co_seq_diretriz"
7614,Q505,Cisto embrionario do ligamento largo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q50,"Malformacoes congenitas dos ovarios, das trompas de Falopio e dos ligamentos largos",Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7615,Q506,Outras malformacoes congenitas das trompas de Falopio e dos ligamentos largos ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q50,"Malformacoes congenitas dos ovarios, das trompas de Falopio e dos ligamentos largos",Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7616,Q51,Malformacoes congenitas do utero e do colo do utero,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7617,Q510,Agenesia e aplasia do utero ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7618,Q511,Utero duplo com duplicacao do colo uterino e da vagina ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7620,Q513,Utero bicorneo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7621,Q514,Utero unicorneo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7622,Q515,Agenesia e aplasia do colo do utero ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7623,Q516,Cisto embrionario do colo do utero ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7624,Q517,Fistula congenita utero-digestiva ou utero-urinaria ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q51,Malformacoes congenitas do utero e do colo do utero,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7627,Q52,Outras malformacoes congenitas dos orgaos genitais femininos,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7628,Q520,Ausencia congenita da vagina ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7629,Q521,Duplicacao da vagina ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7630,Q522,Fistula reto-vaginal congenita ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7631,Q523,Imperfuracao do himen ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7633,Q525,Fusao dos labios vulvares ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7634,Q526,Malformacao congenita do clitoris ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7635,Q527,Outras malformacoes congenitas da vulva ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7637,Q529,Malformacao congenita nao especificada dos orgaos genitais femininos ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q52,Outras malformacoes congenitas dos orgaos genitais femininos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7639,Q530,Testiculo ectopico ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q53,Testiculo nao-descido,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7640,Q531,"Testiculo nao-descido, unilateral ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q53,Testiculo nao-descido,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7641,Q532,"Testiculo nao-descido, bilateral ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q53,Testiculo nao-descido,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7642,Q539,"Testiculo nao-descido, nao especificado ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q53,Testiculo nao-descido,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
8185,R53,"Mal estar, fadiga ",18,Capitulo XVIII,"Sintomas, sinais e achados anormais de exames clinicos e de laboratorio, nao classificados em outra parte",R53,"Mal estar, fadiga ",Sintomas e sinais gerais (R50-R69),
7652,Q550,Ausencia e aplasia do testiculo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7653,Q551,Hipoplasia do(s) testiculo(s) e do escroto ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7958,Q96,Sindrome de Turner,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q96,Sindrome de Turner,Anomalias cromossomicas nao classificadas em outra parte (Q90-Q99),
7654,Q552,Outras malformacoes congenitas do(s) testiculo(s) e do escroto ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7655,Q553,Atresia do canal deferente ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7656,Q554,"Outras malformacoes congenitas do canal deferente, do epididimo, das vesiculas seminais e da prostata ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7657,Q555,Ausencia e aplasia congenitas do penis ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7658,Q556,Outras malformacoes congenitas do penis ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7660,Q559,Malformacao congenita nao especificada dos orgaos genitais masculinos ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q55,Outras malformacoes congenitas dos orgaos genitais masculinos,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7661,Q56,Sexo indeterminado e pseudo-hermafroditismo,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q56,Sexo indeterminado e pseudo-hermafroditismo,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7662,Q560,Hermafroditismo nao classificado em outra parte ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q56,Sexo indeterminado e pseudo-hermafroditismo,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7663,Q561,"Pseudo-hermafroditismo masculino, nao classificado em outra parte ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q56,Sexo indeterminado e pseudo-hermafroditismo,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7666,Q564,"Sexo indeterminado, nao especificado ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q56,Sexo indeterminado e pseudo-hermafroditismo,Malformacoes congenitas dos orgaos genitais (Q50-Q56),
7667,Q60,Agenesia renal e outros defeitos de reducao do rim,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7668,Q600,Agenesia unilateral do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7669,Q601,Agenesia bilateral do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7670,Q602,Agenesia renal nao especificada ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7671,Q603,Hipoplasia renal unilateral ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7672,Q604,Hipoplasia renal bilateral ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7673,Q605,Hipoplasia renal nao especificada ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
3884,I49,Outras arritmias cardiacas,9,Capitulo IX,Doencas do aparelho circulatorio,I49,Outras arritmias cardiacas,Outras formas de doenca do coracao (I30-I52),
7674,Q606,Sindrome de Potter ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q60,Agenesia renal e outros defeitos de reducao do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7675,Q61,Doencas cisticas do rim,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
8524,S202,Contusao do torax ,19,Capitulo XIX,"Lesoes, envenenamento e algumas outras consequencias de causas externas",S20,Traumatismo superficial do torax,Traumatismos do torax (S20-S29),
8525,S203,Outros traumatismos superficiais da parede anterior do torax ,19,Capitulo XIX,"Lesoes, envenenamento e algumas outras consequencias de causas externas",S20,Traumatismo superficial do torax,Traumatismos do torax (S20-S29),
7678,Q612,"Rim policistico, tipo adulto ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7679,Q613,Rim policistico nao especificado ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7680,Q614,Displasia renal ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7681,Q615,Cisto medular do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7682,Q618,Outras doencas cisticas do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7683,Q619,Doenca cistica nao especificada do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q61,Doencas cisticas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7684,Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7753,Q691,Polegar(es) supranumerario(s) ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q69,Polidactilia,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7685,Q620,Hidronefrose congenita ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7686,Q621,Atresia e estenose do ureter ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7687,Q622,Megaureter congenito ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7690,Q625,Duplicacao do ureter ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7691,Q626,Ma-posicao do ureter ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
8276,R824,Acetonuria ,18,Capitulo XVIII,"Sintomas, sinais e achados anormais de exames clinicos e de laboratorio, nao classificados em outra parte",R82,Outros achados anormais na urina,"Achados anormais de exames de urina, sem diagnostico (R80-R82)",
7692,Q627,Refluxo vesico-uretero-renal congenito ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7693,Q628,Outras malformacoes congenitas do ureter ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q62,Anomalias congenitas obstrutivas da pelve renal e malformacoes congenitas do ureter,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7694,Q63,Outras malformacoes congenitas do rim,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7695,Q630,Rim supranumerario ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7696,Q631,"Rim lobulado, fundido ou em ferradura ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7697,Q632,Rim ectopico ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7698,Q633,Rim hiperplasico e gigante ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7699,Q638,Outras malformacoes congenitas especificadas do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7700,Q639,Malformacao congenita nao especificada do rim ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q63,Outras malformacoes congenitas do rim,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7701,Q64,Outras malformacoes congenitas do aparelho urinario,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7702,Q640,Epispadias ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7703,Q641,Extrofia vesical ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7705,Q643,Outras formas de atresia e de estenose de uretra e do colo da bexiga ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7706,Q644,Malformacao do uraco ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7709,Q647,Outras malformacoes congenitas da bexiga e da uretra ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7710,Q648,Outras malformacoes congenitas especificadas do aparelho urinario ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7711,Q649,Malformacao congenita nao especificada do aparelho urinario ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q64,Outras malformacoes congenitas do aparelho urinario,Malformacoes congenitas do aparelho urinario (Q60-Q64),
7712,Q65,Malformacoes congenitas do quadril,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7713,Q650,Luxacao congenita unilateral do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7714,Q651,Luxacao congenita bilateral do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7864,Q823,Incontinentia pigmenti ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q82,Outras malformacoes congenitas da pele,Outras malformacoes congenitas (Q80-Q89),
7715,Q652,Luxacao congenita nao especificada do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7716,Q653,Subluxacao congenita unilateral do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7717,Q654,Subluxacao congenita bilateral do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7719,Q656,Quadril instavel ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7720,Q658,Outras deformidades congenitas do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7721,Q659,Deformidade congenita nao especificada do quadril ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q65,Malformacoes congenitas do quadril,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7723,Q660,Pe torto equinovaro ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7726,Q663,Outras deformidades congenitas dos pes em varo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7727,Q664,Pe torto calcaneovalgo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7728,Q665,Pe chato congenito ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7729,Q666,Outras deformidades congenitas dos pes em valgo ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7731,Q668,Outras deformidades congenitas do pe ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7732,Q669,Deformidade congenita nao especificada do pe ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q66,Deformidades congenitas do pe,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7733,Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7876,Q84,Outras malformacoes congenitas do tegumento,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q84,Outras malformacoes congenitas do tegumento,Outras malformacoes congenitas (Q80-Q89),
7734,Q670,Assimetria facial ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7736,Q672,Dolicocefalia ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7738,Q674,"Outras deformidades congenitas do cranio, da face e da mandibula ",17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7739,Q675,Deformidades congenitas da coluna vertebral ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7740,Q676,Torax escavado ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7741,Q677,Torax carinado ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7742,Q678,Outras deformidades congenitas do torax ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q67,"Deformidades osteomusculares congenitas da cabeca, da face, da coluna e do torax",Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7743,Q68,Outras deformidades osteomusculares congenitas,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7744,Q680,Deformidade congenita do musculo esternocleidomastoideu ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7745,Q681,Deformidade congenita da mao ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7746,Q682,Deformidade congenita do joelho ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
829,B810,Anisaquiase ,1,Capitulo I,Algumas doencas infecciosas e parasitarias,B81,"Outras helmintiases intestinais, nao classificadas em outra parte",Helmintiases (B65-B83),
7747,Q683,Encurvamento congenito do femur ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7748,Q684,Encurvamento congenito da tibia e da peronio [fibula] ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q68,Outras deformidades osteomusculares congenitas,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7754,Q692,Artelho(s) supranumerario(s) ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q69,Polidactilia,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7755,Q699,Polidactilia nao especificada ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q69,Polidactilia,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7757,Q700,Coalescencia dos dedos (dedos da mao fundidos) ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q70,Sindactilia,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7787,Q738,Outros defeitos por reducao de membro(s) nao especificado(s) ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q73,Defeitos por reducao de membro nao especificado,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
7788,Q74,Outras malformacoes congenitas dos membros,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q74,Outras malformacoes congenitas dos membros,Malformacoes e deformidades congenitas do sistema osteomuscular (Q65-Q79),
